2017-10-11,4824
2017-10-12,5432
2017-10-13,5637
2017-10-14,5824
2017-10-15,5688
2017-10-16,5759
2017-10-17,5598
2017-10-18,5575
2017-10-19,5698
2017-10-20,5993
2017-10-21,6006
2017-10-22,5982
2017-10-23,5903
2017-10-24,5513
2017-10-25,5734
2017-10-26,5887
2017-10-27,5764
2017-10-28,5726
2017-10-29,6147
2017-10-30,6124
2017-10-31,6451
2017-11-01,6737
2017-11-02,7024
2017-11-03,7152
2017-11-04,7363
2017-11-05,7389
2017-11-06,6959
2017-11-07,7102
2017-11-08,7444
2017-11-09,7129
2017-11-10,6565
2017-11-11,6339
2017-11-12,5878
2017-11-13,6522
2017-11-14,6597
2017-11-15,7283
2017-11-16,7853
2017-11-17,7700
2017-11-18,7780
2017-11-19,8042
2017-11-20,8244
2017-11-21,8100
2017-11-22,8234
2017-11-23,8013
2017-11-24,8200
2017-11-25,8754
2017-11-26,9318
2017-11-27,9733
2017-11-28,9906
2017-11-29,9837
2017-11-30,9946
2017-12-01,10861
2017-12-02,10912
2017-12-03,11246
2017-12-04,11623
2017-12-05,11667
2017-12-06,13749
2017-12-07,16850
2017-12-08,16047
2017-12-09,14843
2017-12-10,15059
2017-12-11,16732
2017-12-12,17083
2017-12-13,16286
2017-12-14,16467
2017-12-15,17604
2017-12-16,19345
2017-12-17,19065
2017-12-18,18972
2017-12-19,17523
2017-12-20,16462
2017-12-21,15632
2017-12-22,13665
2017-12-23,14396
2017-12-24,13790
2017-12-25,13833
2017-12-26,15756
2017-12-27,15416
2017-12-28,14398
2017-12-29,14392
2017-12-30,12531
2017-12-31,13850
2018-01-01,13444
2018-01-02,14754
2018-01-03,15156
2018-01-04,15180
2018-01-05,16954
2018-01-06,17172
2018-01-07,16228
2018-01-08,14976
2018-01-09,14778
2018-01-10,15043
2018-01-11,13535
2018-01-12,13886
2018-01-13,14292
2018-01-14,13695
2018-01-15,13697
2018-01-16,11362
2018-01-17,11192
2018-01-18,11245
2018-01-19,11580
2018-01-20,12858
2018-01-21,11594
2018-01-22,10864
2018-01-23,10903
2018-01-24,11452
2018-01-25,11203
2018-01-26,11118
2018-01-27,11467
2018-01-28,11795
2018-01-29,11244
2018-01-30,10166
2018-01-31,10265
2018-02-01,9181
2018-02-02,8893
2018-02-03,9241
2018-02-04,8222
2018-02-05,6938
2018-02-06,7701
2018-02-07,7594
2018-02-08,8164
2018-02-09,8699
2018-02-10,8559
2018-02-11,8081
2018-02-12,8903
2018-02-13,8539
2018-02-14,9476
2018-02-15,10037
2018-02-16,10178
2018-02-17,11073
2018-02-18,10398
2018-02-19,11169
2018-02-20,11238
2018-02-21,10473
2018-02-22,9841
2018-02-23,10170
2018-02-24,9704
2018-02-25,9585
2018-02-26,10285
2018-02-27,10594
2018-02-28,10333
2018-03-01,10904
2018-03-02,10827
2018-03-03,11402
2018-03-04,11416
2018-03-05,11330
2018-03-06,10675
2018-03-07,9902
2018-03-08,9300
2018-03-09,9217
2018-03-10,8762
2018-03-11,9529
2018-03-12,9137
2018-03-13,9154
2018-03-14,8210
2018-03-15,8264
2018-03-16,8289
2018-03-17,7874
2018-03-18,8201
2018-03-19,8616
2018-03-20,8912
2018-03-21,8905
2018-03-22,8726
2018-03-23,8916
2018-03-24,8547
2018-03-25,8473
2018-03-26,8143
2018-03-27,7801
2018-03-28,7954
2018-03-29,7129
2018-03-30,6853
2018-03-31,6938
2018-04-01,6825
2018-04-02,7068
2018-04-03,7424
2018-04-04,6808
2018-04-05,6782
2018-04-06,6624
2018-04-07,6905
2018-04-08,7030
2018-04-09,6781
2018-04-10,6854
2018-04-11,6962
2018-04-12,7926
2018-04-13,7887
2018-04-14,8004
2018-04-15,8363
2018-04-16,8070
2018-04-17,7908
2018-04-18,8178
2018-04-19,8290
2018-04-20,8867
2018-04-21,8923
2018-04-22,8806
2018-04-23,8952
2018-04-24,9645
2018-04-25,8873
2018-04-26,9287
2018-04-27,8940
2018-04-28,9352
2018-04-29,9415
2018-04-30,9245
2018-05-01,9074
2018-05-02,9243
2018-05-03,9749
2018-05-04,9708
2018-05-05,9853
2018-05-06,9656
2018-05-07,9431
2018-05-08,9196
2018-05-09,9319
2018-05-10,9025
2018-05-11,8408
2018-05-12,8459
2018-05-13,8693
2018-05-14,8674
2018-05-15,8477
2018-05-16,8344
2018-05-17,8063
2018-05-18,8245
2018-05-19,8245
2018-05-20,8529
2018-05-21,8403
2018-05-22,8006
2018-05-23,7512
2018-05-24,7592
2018-05-25,7477
2018-05-26,7361
2018-05-27,7366
2018-05-28,7119
2018-05-29,7467
2018-05-30,7400
2018-05-31,7502
2018-06-01,7530
2018-06-02,7646
2018-06-03,7729
2018-06-04,7504
2018-06-05,7631
2018-06-06,7661
2018-06-07,7697
2018-06-08,7622
2018-06-09,7515
2018-06-10,6775
2018-06-11,6885
2018-06-12,6558
2018-06-13,6312
2018-06-14,6647
2018-06-15,6410
2018-06-16,6505
2018-06-17,6460
2018-06-18,6719
2018-06-19,6752
2018-06-20,6765
2018-06-21,6728
2018-06-22,6055
2018-06-23,6167
2018-06-24,6154
2018-06-25,6256
2018-06-26,6082
2018-06-27,6154
2018-06-28,5883
2018-06-29,6213
2018-06-30,6398
2018-07-01,6366
2018-07-02,6619
2018-07-03,6513
2018-07-04,6598
2018-07-05,6546
2018-07-06,6617
2018-07-07,6765
2018-07-08,6714
2018-07-09,6667
2018-07-10,6307
2018-07-11,6389
2018-07-12,6250
2018-07-13,6230
2018-07-14,6254
2018-07-15,6362
2018-07-16,6729
2018-07-17,7322
2018-07-18,7383
2018-07-19,7477
2018-07-20,7339
2018-07-21,7408
2018-07-22,7412
2018-07-23,7723
2018-07-24,8407
2018-07-25,8173
2018-07-26,7937
2018-07-27,8187
2018-07-28,8234
2018-07-29,8215
2018-07-30,8177
2018-07-31,7729
2018-08-01,7606
2018-08-02,7535
2018-08-03,7419
2018-08-04,7014
2018-08-05,7027
2018-08-06,6943
2018-08-07,6724
2018-08-08,6283
2018-08-09,6538
2018-08-10,6152
2018-08-11,6231
2018-08-12,6313
2018-08-13,6255
2018-08-14,6190
2018-08-15,6256
2018-08-16,6306
2018-08-17,6581
2018-08-18,6379
2018-08-19,6481
2018-08-20,6268
2018-08-21,6482
2018-08-22,6359
2018-08-23,6521
2018-08-24,6680
2018-08-25,6734
2018-08-26,6712
2018-08-27,6897
2018-08-28,7074
2018-08-29,7029
2018-08-30,6993
2018-08-31,7033
2018-09-01,7189
2018-09-02,7293
2018-09-03,7264
2018-09-04,7377
2018-09-05,6706
2018-09-06,6514
2018-09-07,6390
2018-09-08,6184
2018-09-09,6238
2018-09-10,6321
2018-09-11,6293
2018-09-12,6338
2018-09-13,6482
2018-09-14,6483
2018-09-15,6519
2018-09-16,6500
2018-09-17,6251
2018-09-18,6342
2018-09-19,6390
2018-09-20,6489
2018-09-21,6766
2018-09-22,6729
2018-09-23,6704
2018-09-24,6584
2018-09-25,6445
2018-09-26,6468
2018-09-27,6689
2018-09-28,6636
2018-09-29,6603
2018-09-30,6635
2018-10-01,6608
2018-10-02,6549
2018-10-03,6507
2018-10-04,6584
2018-10-05,6639
2018-10-06,6596
2018-10-07,6611
2018-10-08,6669
2018-10-09,6650
2018-10-10,6618
2018-10-11,6239
2018-10-12,6291
2018-10-13,6321
2018-10-14,6326
2018-10-15,6699
2018-10-16,6705
2018-10-17,6686
2018-10-18,6574
2018-10-19,6512
2018-10-20,6572
2018-10-21,6583
2018-10-22,6555
2018-10-23,6528
2018-10-24,6530
2018-10-25,6507
2018-10-26,6510
2018-10-27,6494
2018-10-28,6486
2018-10-29,6335
2018-10-30,6325
2018-10-31,6365
2018-11-01,6400
2018-11-02,6424
2018-11-03,6386
2018-11-04,6478
2018-11-05,6459
2018-11-06,6502
2018-11-07,6565
2018-11-08,6474
2018-11-09,6412
2018-11-10,6427
2018-11-11,6446
2018-11-12,6435
2018-11-13,6429
2018-11-14,5842
2018-11-15,5718
2018-11-16,5636
2018-11-17,5621
2018-11-18,5658
2018-11-19,4883
2018-11-20,4524
2018-11-21,4638
2018-11-22,4356
2018-11-23,4398
2018-11-24,3920
2018-11-25,4062
2018-11-26,3837
2018-11-27,3866
2018-11-28,4265
2018-11-29,4296
2018-11-30,4039
2018-12-01,4196
2018-12-02,4160
2018-12-03,3897
2018-12-04,3958
2018-12-05,3771
2018-12-06,3508
2018-12-07,3422
2018-12-08,3430
2018-12-09,3567
2018-12-10,3460
2018-12-11,3407
2018-12-12,3466
2018-12-13,3315
2018-12-14,3247
2018-12-15,3228
2018-12-16,3247
2018-12-17,3526
2018-12-18,3668
2018-12-19,3687
2018-12-20,4076
2018-12-21,3850
2018-12-22,3964
2018-12-23,3944
2018-12-24,4026
2018-12-25,3762
2018-12-26,3793
2018-12-27,3586
2018-12-28,3861
2018-12-29,3706
2018-12-30,3815
2018-12-31,3709
2019-01-01,3809
2019-01-02,3873
2019-01-03,3780
2019-01-04,3802
2019-01-05,3785
2019-01-06,4004
2019-01-07,3985
2019-01-08,3971
2019-01-09,3978
2019-01-10,3603
2019-01-11,3616
2019-01-12,3597
2019-01-13,3490
2019-01-14,3638
2019-01-15,3571
2019-01-16,3588
2019-01-17,3626
2019-01-18,3605
2019-01-19,3677
2019-01-20,3542
2019-01-21,3536
2019-01-22,3580
2019-01-23,3561
2019-01-24,3574
2019-01-25,3572
2019-01-26,3570
2019-01-27,3555
2019-01-28,3442
2019-01-29,3414
2019-01-30,3460
